run_at,target,grades,loss,sampler,class_weight,eval,arch,hidden,lr,epochs_run,best_epoch,n_train,n_val,macro_f1,accuracy,qwk,per_device_f1,seconds,tag
2026-09-09 13:04,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,33,18,14449,1810,0.7448,0.7525,0.8121,"{""디카"": 0.7457, ""패드"": 0.7139, ""폰"": 0.694}",11.3,5.1/3등급/ce
2026-09-09 13:04,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,27,12,14449,1810,0.6264,0.7646,0.7966,"{""디카"": 0.6132, ""패드"": 0.5967, ""폰"": 0.5923}",9.7,5.1/3등급-boundary
2026-09-09 13:05,wrinkle,3,coral,none,False,standard,dinov3_s,512,0.001,60,50,14449,1810,0.7391,0.7514,0.8122,"{""디카"": 0.7455, ""패드"": 0.6992, ""폰"": 0.6777}",21.2,5.1/3등급/coral
2026-09-09 13:05,wrinkle,7,coral,none,False,standard,dinov3_s,512,0.001,60,54,14449,1810,0.384,0.4403,0.8517,"{""디카"": 0.3824, ""패드"": 0.3609, ""폰"": 0.3803}",20.6,5.1/7등급/coral
2026-09-09 13:05,wrinkle,3,ce,none,False,device,dinov3_s,512,0.001,16,1,8576,388,0.4855,0.5722,0.4949,{},3.3,5.1/도메인갭
2026-09-09 13:06,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,25,10,14449,1810,0.7525,0.7586,0.8159,"{""디카"": 0.7712, ""패드"": 0.6934, ""폰"": 0.6901}",8.7,5.2/squash/전체
2026-09-09 13:06,wrinkle,3,ce,none,False,device,dinov3_s,512,0.001,17,2,8576,388,0.4746,0.5825,0.5236,{},3.5,5.2/squash/폰
2026-09-09 13:06,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,33,18,14449,1810,0.7448,0.7525,0.8121,"{""디카"": 0.7457, ""패드"": 0.7139, ""폰"": 0.694}",11.3,5.3/w90
2026-09-09 13:06,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,21,6,13432,1672,0.7487,0.7602,0.8246,"{""디카"": 0.7633, ""패드"": 0.7298, ""폰"": 0.6685}",6.6,5.3/w120
2026-09-09 13:06,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,22,7,12419,1552,0.7551,0.7655,0.8219,"{""디카"": 0.7574, ""패드"": 0.7476, ""폰"": 0.6977}",6.2,5.3/w150
2026-09-09 13:07,wrinkle,7,ce,none,False,standard,dinov3_s,512,0.001,34,19,14449,1810,0.3926,0.4735,0.8413,"{""디카"": 0.3858, ""패드"": 0.3481, ""폰"": 0.3493}",11.4,5.1/7등급/ce
2026-09-09 13:07,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,20,5,14449,1810,0.7544,0.7663,0.8228,"{""디카"": 0.7765, ""패드"": 0.72, ""폰"": 0.683}",6.8,5.1/3등급/ce
2026-09-09 13:07,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,32,17,14449,1810,0.627,0.7646,0.802,"{""디카"": 0.6202, ""패드"": 0.5942, ""폰"": 0.6088}",10.8,5.1/3등급-boundary
2026-09-09 13:07,wrinkle,3,coral,none,False,standard,dinov3_s,512,0.001,44,29,14449,1810,0.7343,0.7503,0.8062,"{""디카"": 0.754, ""패드"": 0.7044, ""폰"": 0.6846}",15.0,5.1/3등급/coral
2026-09-09 13:08,wrinkle,7,coral,none,False,standard,dinov3_s,512,0.001,60,51,14449,1810,0.3954,0.4536,0.8499,"{""디카"": 0.4044, ""패드"": 0.35, ""폰"": 0.3781}",20.0,5.1/7등급/coral
2026-09-09 13:08,wrinkle,3,ce,none,False,device,dinov3_s,512,0.001,16,1,8576,388,0.5011,0.5851,0.5457,{},3.2,5.1/도메인갭
2026-09-09 13:08,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,18,3,14449,1810,0.753,0.7619,0.8173,"{""디카"": 0.773, ""패드"": 0.7035, ""폰"": 0.7017}",6.1,5.2/squash/전체
2026-09-09 13:08,wrinkle,3,ce,none,False,device,dinov3_s,512,0.001,16,1,8576,388,0.5079,0.6005,0.5593,{},3.2,5.2/squash/폰
2026-09-09 13:08,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,20,5,14449,1810,0.7544,0.7663,0.8228,"{""디카"": 0.7765, ""패드"": 0.72, ""폰"": 0.683}",6.6,5.3/w90
2026-09-09 13:08,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,23,8,13432,1672,0.7506,0.765,0.8253,"{""디카"": 0.7536, ""패드"": 0.7133, ""폰"": 0.663}",7.1,5.3/w120
2026-09-09 13:09,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,27,12,12419,1552,0.7513,0.7597,0.8183,"{""디카"": 0.7585, ""패드"": 0.7371, ""폰"": 0.6632}",7.9,5.3/w150
2026-09-09 13:09,wrinkle,7,ce,none,False,standard,dinov3_s,512,0.001,28,13,14449,1810,0.3854,0.4624,0.8388,"{""디카"": 0.4001, ""패드"": 0.352, ""폰"": 0.347}",9.2,5.1/7등급/ce
2026-09-09 13:09,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,25,10,14449,1810,0.7459,0.753,0.8135,"{""디카"": 0.7537, ""패드"": 0.7158, ""폰"": 0.6892}",8.4,5.1/3등급/ce
2026-09-09 13:09,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,20,5,14449,1810,0.6252,0.774,0.8056,"{""디카"": 0.6264, ""패드"": 0.6038, ""폰"": 0.6088}",6.8,5.1/3등급-boundary
2026-09-09 13:10,wrinkle,3,coral,none,False,standard,dinov3_s,512,0.001,52,37,14449,1810,0.7433,0.7591,0.8183,"{""디카"": 0.7506, ""패드"": 0.7256, ""폰"": 0.7018}",17.5,5.1/3등급/coral
2026-09-09 13:10,wrinkle,7,coral,none,False,standard,dinov3_s,512,0.001,60,60,14449,1810,0.3931,0.4514,0.8534,"{""디카"": 0.4088, ""패드"": 0.3464, ""폰"": 0.3881}",19.7,5.1/7등급/coral
2026-09-09 13:10,wrinkle,3,ce,none,False,device,dinov3_s,512,0.001,16,1,8576,388,0.5123,0.5799,0.5441,{},3.2,5.1/도메인갭
2026-09-09 13:10,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,24,9,14449,1810,0.7581,0.7657,0.8189,"{""디카"": 0.7662, ""패드"": 0.731, ""폰"": 0.688}",8.3,5.2/squash/전체
2026-09-09 13:11,wrinkle,3,ce,none,False,device,dinov3_s,512,0.001,16,1,8576,388,0.5278,0.6005,0.5775,{},3.1,5.2/squash/폰
2026-09-09 13:11,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,25,10,14449,1810,0.7459,0.753,0.8135,"{""디카"": 0.7537, ""패드"": 0.7158, ""폰"": 0.6892}",8.5,5.3/w90
2026-09-09 13:11,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,19,4,13432,1672,0.7458,0.7572,0.8175,"{""디카"": 0.7567, ""패드"": 0.6959, ""폰"": 0.6654}",5.8,5.3/w120
2026-09-09 13:11,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,26,11,12419,1552,0.7545,0.7655,0.8262,"{""디카"": 0.7518, ""패드"": 0.733, ""폰"": 0.6714}",7.5,5.3/w150
2026-09-09 13:11,wrinkle,7,ce,none,False,standard,dinov3_s,512,0.001,23,8,14449,1810,0.3922,0.4735,0.8362,"{""디카"": 0.3841, ""패드"": 0.3249, ""폰"": 0.3542}",7.6,5.1/7등급/ce
2026-09-09 13:11,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,20,5,14449,1810,0.7517,0.7613,0.8203,"{""디카"": 0.7624, ""패드"": 0.7102, ""폰"": 0.6841}",6.6,5.1/3등급/ce
2026-09-09 13:12,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,20,5,14449,1810,0.6226,0.7702,0.7915,"{""디카"": 0.6112, ""패드"": 0.5873, ""폰"": 0.6001}",6.8,5.1/3등급-boundary
2026-09-09 13:12,wrinkle,3,coral,none,False,standard,dinov3_s,512,0.001,60,49,14449,1810,0.7358,0.7514,0.8102,"{""디카"": 0.7505, ""패드"": 0.7044, ""폰"": 0.6834}",19.8,5.1/3등급/coral
2026-09-09 13:12,wrinkle,7,coral,none,False,standard,dinov3_s,512,0.001,60,59,14449,1810,0.39,0.4486,0.8498,"{""디카"": 0.3988, ""패드"": 0.3391, ""폰"": 0.3994}",19.7,5.1/7등급/coral
2026-09-09 13:13,wrinkle,3,ce,none,False,device,dinov3_s,512,0.001,16,1,8576,388,0.5002,0.5876,0.5443,{},3.1,5.1/도메인갭
2026-09-09 13:13,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,37,22,14449,1810,0.7508,0.7608,0.8207,"{""디카"": 0.771, ""패드"": 0.7037, ""폰"": 0.6887}",12.5,5.2/squash/전체
2026-09-09 13:13,wrinkle,3,ce,none,False,device,dinov3_s,512,0.001,16,1,8576,388,0.5039,0.5851,0.5207,{},3.2,5.2/squash/폰
2026-09-09 13:13,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,20,5,14449,1810,0.7517,0.7613,0.8203,"{""디카"": 0.7624, ""패드"": 0.7102, ""폰"": 0.6841}",6.8,5.3/w90
2026-09-09 13:13,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,22,7,13432,1672,0.7514,0.7656,0.8263,"{""디카"": 0.7638, ""패드"": 0.7305, ""폰"": 0.681}",6.9,5.3/w120
2026-09-09 13:14,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,18,3,12419,1552,0.7586,0.7713,0.8275,"{""디카"": 0.765, ""패드"": 0.7561, ""폰"": 0.6795}",5.2,5.3/w150
2026-09-09 13:14,wrinkle,7,ce,none,False,standard,dinov3_s,512,0.001,32,17,14449,1810,0.3967,0.4729,0.8386,"{""디카"": 0.4068, ""패드"": 0.3603, ""폰"": 0.3341}",11.0,5.1/7등급/ce
2026-09-09 13:14,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,20,5,14449,1810,0.7482,0.7613,0.8195,"{""디카"": 0.7696, ""패드"": 0.7183, ""폰"": 0.6905}",6.5,5.1/3등급/ce
2026-09-09 13:14,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,34,19,14449,1810,0.6209,0.7696,0.7947,"{""디카"": 0.6059, ""패드"": 0.5961, ""폰"": 0.6285}",11.3,5.1/3등급-boundary
2026-09-09 13:15,wrinkle,3,coral,none,False,standard,dinov3_s,512,0.001,38,23,14449,1810,0.7363,0.7569,0.8194,"{""디카"": 0.7498, ""패드"": 0.6903, ""폰"": 0.6857}",12.7,5.1/3등급/coral
2026-09-09 13:15,wrinkle,7,coral,none,False,standard,dinov3_s,512,0.001,60,58,14449,1810,0.3928,0.4575,0.8526,"{""디카"": 0.4048, ""패드"": 0.3469, ""폰"": 0.3609}",20.1,5.1/7등급/coral
2026-09-09 13:15,wrinkle,3,ce,none,False,device,dinov3_s,512,0.001,16,1,8576,388,0.5495,0.6057,0.5739,{},3.3,5.1/도메인갭
2026-09-09 13:15,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,20,5,14449,1810,0.7531,0.7619,0.8181,"{""디카"": 0.7667, ""패드"": 0.7097, ""폰"": 0.686}",6.5,5.2/squash/전체
2026-09-09 13:15,wrinkle,3,ce,none,False,device,dinov3_s,512,0.001,16,1,8576,388,0.5051,0.5825,0.4765,{},3.2,5.2/squash/폰
2026-09-09 13:16,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,20,5,14449,1810,0.7482,0.7613,0.8195,"{""디카"": 0.7696, ""패드"": 0.7183, ""폰"": 0.6905}",6.6,5.3/w90
2026-09-09 13:16,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,33,18,13432,1672,0.7479,0.759,0.8191,"{""디카"": 0.7595, ""패드"": 0.7045, ""폰"": 0.6687}",10.2,5.3/w120
2026-09-09 13:16,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,23,8,12419,1552,0.7555,0.7668,0.8266,"{""디카"": 0.7557, ""패드"": 0.7175, ""폰"": 0.6772}",6.7,5.3/w150
2026-09-09 13:17,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,40,25,13432,1810,0.745,0.7558,0.8198,"{""디카"": 0.7456, ""패드"": 0.7059, ""폰"": 0.6941}",12.5,5.3fix/w120
2026-09-09 13:18,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,18,3,12419,1810,0.7402,0.7481,0.8026,"{""디카"": 0.7639, ""패드"": 0.7022, ""폰"": 0.686}",5.5,5.3fix/w150
2026-09-09 13:18,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,21,6,11374,1810,0.7479,0.7575,0.8116,"{""디카"": 0.769, ""패드"": 0.6864, ""폰"": 0.6719}",5.7,5.3fix/w180
2026-09-09 13:18,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,23,8,13432,1810,0.7472,0.7613,0.8199,"{""디카"": 0.754, ""패드"": 0.708, ""폰"": 0.6711}",7.5,5.3fix/w120
2026-09-09 13:18,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,28,13,12419,1810,0.7434,0.7536,0.8127,"{""디카"": 0.7531, ""패드"": 0.6851, ""폰"": 0.6642}",8.4,5.3fix/w150
